iter	RMSE
0	276532.1004
1	276231.596
2	276001.2571
3	275784.677
4	275525.7425
5	275362.6359
6	275157.2355
7	274925.4904
8	274696.7613
9	274562.1417
10	274409.5773
11	274212.6008
12	274075.5689
13	273914.4519
14	273764.0365
15	273608.63
16	273523.86
17	273437.4483
18	273350.1321
19	273212.681
20	273118.1324
21	273058.7534
22	273019.0013
23	272908.3014
24	272796.9034
25	272677.4286
26	272605.4164
27	272510.8364
28	272469.2518
29	272399.0342
30	272339.5412
31	272263.4
32	272217.4589
33	272143.2768
34	272090.3156
35	272008.0553
36	271926.6871
37	271887.6941
38	271878.0721
39	271807.8741
40	271766.6956
41	271730.6924
42	271668.4599
43	271612.7147
44	271582.2413
45	271565.0148
46	271543.3731
47	271503.1317
48	271490.6559
49	271448.1297
50	271418.9685
51	271369.7434
52	271340.4396
53	271286.04
54	271249.9442
55	271217.0093
56	271206.078
57	271159.3938
58	271125.2093
59	271113.26
60	271109.2635
61	271087.018
62	271037.4793
63	271029.5764
64	271006.0251
65	270975.4453
66	270953.621
67	270929.4065
68	270899.4283
69	270871.1386
70	270846.3701
71	270805.1787
72	270776.0008
73	270742.7778
74	270735.5515
75	270725.9565
76	270708.7478
77	270675.8881
78	270660.6175
79	270639.5377
80	270621.166
81	270606.9701
82	270592.5646
83	270580.3015
84	270562.8611
85	270557.2861
86	270546.1036
87	270531.7012
88	270515.066
89	270510.4054
90	270487.6637
91	270468.135
92	270467.0444
93	270453.3845
94	270441.196
95	270425.83
96	270419.3762
97	270408.8014
98	270408.6819
99	270394.7169
100	270380.63
101	270364.0261
102	270355.469
103	270342.0596
104	270328.0847
105	270324.1018
106	270313.024
107	270306.1463
108	270289.4023
109	270284.6864
110	270275.3558
111	270262.9662
112	270251.2732
113	270237.8365
114	270230.3156
115	270219.2798
116	270215.1516
117	270207.3068
118	270197.0918
119	270189.1404
120	270176.4103
121	270172.6791
122	270169.7183
123	270163.6563
124	270158.2764
125	270146.0851
126	270139.7035
127	270132.3536
128	270121.7483
129	270118.3274
130	270110.1924
131	270101.703
132	270091.1363
133	270086.6375
134	270084.0152
135	270079.5787
136	270076.6307
137	270073.8551
138	270066.5335
139	270058.8022
140	270050.4112
141	270049.3262
142	270043.232
143	270038.6455
144	270036.7234
145	270030.2882
146	270023.5553
147	270021.3031
148	270014.0533
149	270009.5204
150	270007.3742
151	270005.342
152	270002.6335
153	270000.2358
154	269998.4761
155	269993.647
156	269986.331
157	269981.1055
158	269979.387
159	269973.5065
160	269970.5519
161	269964.8826
162	269962.5843
163	269958.1171
164	269958.1035
165	269954.164
166	269947.924
167	269941.294
168	269940.3122
169	269935.763
170	269933.0505
171	269930.3873
172	269927.1423
173	269922.1908
174	269920.2346
175	269914.6896
176	269910.2695
177	269907.5175
178	269906.7274
179	269902.545
180	269899.6863
181	269894.3266
182	269891.3776
183	269889.7108
184	269889.1115
185	269887.2719
186	269882.8132
187	269881.2115
188	269877.8974
189	269875.9342
190	269873.1932
191	269869.37
192	269865.7787
193	269864.1281
194	269860.2252
195	269855.9743
196	269852.5284
197	269851.6702
198	269850.3283
199	269846.4717
200	269844.6434
201	269842.7069
202	269841.4549
203	269838.2565
204	269834.7134
205	269830.1925
206	269829.3214
207	269828.7172
208	269828.5404
209	269825.4818
210	269821.9593
211	269820.4485
212	269819.4679
213	269818.2601
214	269816.6945
215	269814.9935
216	269812.3049
217	269811.4376
218	269809.5591
219	269809.5589
220	269809.556
221	269808.7025
222	269806.2206
223	269803.6884
224	269803.6883
225	269802.9159
226	269801.1118
227	269800.7892
228	269799.3737
229	269797.7917
230	269795.1424
231	269793.9488
232	269791.2387
233	269789.6397
234	269787.4522
235	269787.4511
236	269786.8009
237	269785.8132
238	269784.7858
239	269784.7848
240	269783.6719
241	269781.9992
242	269781.3854
243	269779.4001
244	269779.0802
245	269778.6632
246	269778.2691
247	269777.1603
248	269775.1142
249	269773.8059
250	269772.1912
251	269770.0353
252	269768.6257
253	269767.2016
254	269766.3657
255	269764.2695
256	269764.2687
257	269763.3924
258	269763.3924
259	269762.8189
260	269760.9196
261	269759.7573
262	269759.0925
263	269758.2077
264	269756.0837
265	269755.2364
266	269754.8266
267	269754.0748
268	269752.8765
269	269752.1211
270	269751.0918
271	269749.3046
272	269748.9615
273	269748.7656
274	269748.47
275	269747.1452
276	269746.6557
277	269746.4048
278	269745.4486
279	269744.4561
280	269742.5909
281	269741.051
282	269739.3465
283	269738.9143
284	269737.2867
285	269736.0634
286	269736.0634
287	269734.6205
288	269733.3589
289	269731.9752
290	269731.9747
291	269730.9937
292	269730.1896
293	269730.189
294	269729.2123
295	269728.863
296	269728.5689
297	269728.1289
298	269727.8572
299	269727.439
300	269726.4456
301	269726.0201
302	269725.3171
303	269724.7483
304	269723.575
305	269723.3105
306	269722.8899
307	269721.4585
308	269720.8888
309	269719.3001
310	269718.1559
311	269717.9377
312	269717.2194
313	269716.4167
314	269715.3839
315	269714.767
316	269713.7198
317	269713.3469
318	269712.6082
319	269711.9031
320	269710.6212
321	269709.2311
322	269708.6076
323	269707.9776
324	269707.3844
325	269706.8087
326	269706.3262
327	269705.8694
328	269705.0962
329	269704.0716
330	269703.3217
331	269702.23
332	269701.3364
333	269700.9312
334	269700.7676
335	269700.1041
336	269699.026
337	269698.8154
338	269698.0206
339	269697.2658
340	269697.1551
341	269696.2939
342	269695.9996
343	269695.43
344	269695.0443
345	269694.1469
346	269693.788
347	269693.0488
348	269692.0583
349	269691.533
350	269690.7331
351	269690.0515
352	269689.5233
353	269689.2771
354	269688.5517
355	269687.8093
356	269687.0726
357	269686.4949
358	269686.3421
359	269685.6011
360	269685.4561
361	269684.9323
362	269684.3485
363	269683.7522
364	269683.2009
365	269682.7178
366	269682.2815
367	269681.7732
368	269681.0627
369	269680.5337
370	269680.137
371	269679.5587
372	269679.1168
373	269678.5592
374	269677.9858
375	269677.5309
376	269677.0439
377	269676.4693
378	269675.9473
379	269675.4054
380	269674.9372
381	269674.5017
382	269674.2789
383	269673.9069
384	269673.4841
385	269673.0125
386	269672.6489
387	269672.2487
