iter	Passed	Remaining
0	2	2237
1	4	2172
2	6	2018
3	8	2021
4	10	2026
5	11	1915
6	13	1922
7	15	1922
8	17	1929
9	19	1883
10	20	1870
11	22	1883
12	24	1855
13	28	1989
14	32	2129
15	35	2156
16	36	2129
17	39	2156
18	41	2121
19	43	2112
20	44	2080
21	45	2040
22	47	2030
23	49	2024
24	51	2007
25	53	1999
26	54	1969
27	56	1956
28	57	1929
29	59	1908
30	60	1904
31	63	1916
32	64	1901
33	67	1916
34	69	1925
35	72	1954
36	78	2047
37	82	2079
38	84	2072
39	89	2144
40	92	2153
41	94	2149
42	98	2191
43	100	2183
44	102	2184
45	104	2160
46	107	2176
47	109	2178
48	111	2168
49	114	2179
50	117	2185
51	121	2216
52	124	2222
53	127	2227
54	129	2223
55	131	2212
56	132	2193
57	134	2185
58	136	2170
59	138	2163
60	139	2145
61	141	2146
62	143	2140
63	147	2164
64	149	2150
65	151	2144
66	154	2153
67	157	2156
68	162	2199
69	165	2192
70	167	2191
71	170	2194
72	172	2189
73	177	2224
74	179	2211
75	181	2205
76	182	2193
77	184	2186
78	187	2180
79	189	2181
80	194	2208
81	196	2205
82	200	2213
83	202	2207
84	206	2219
85	207	2203
86	209	2202
87	211	2195
88	213	2185
89	214	2172
90	216	2165
91	218	2160
92	220	2149
93	221	2138
94	223	2130
95	225	2124
96	227	2115
97	228	2107
98	230	2093
99	232	2088
100	233	2080
101	236	2078
102	237	2067
103	239	2061
104	241	2057
105	242	2047
106	244	2042
107	246	2033
108	248	2028
109	249	2020
110	251	2015
111	253	2010
112	255	2006
113	257	2001
114	259	1993
115	261	1989
116	262	1981
117	264	1973
118	266	1972
119	267	1964
120	269	1961
121	271	1953
122	272	1944
123	274	1940
124	276	1933
125	278	1930
126	279	1924
127	282	1921
128	283	1916
129	285	1909
130	287	1906
131	289	1905
132	291	1901
133	293	1896
134	294	1888
135	296	1885
136	298	1878
137	299	1872
138	301	1868
139	303	1865
140	305	1862
141	307	1855
142	308	1851
143	310	1846
144	311	1839
145	314	1839
146	316	1836
147	317	1830
148	319	1827
149	321	1821
150	322	1814
151	324	1808
152	325	1802
153	326	1795
154	328	1793
155	330	1788
156	332	1785
157	334	1782
158	335	1776
159	337	1773
160	339	1767
161	341	1764
162	342	1759
163	344	1757
164	345	1749
165	347	1747
166	349	1744
167	351	1742
168	353	1736
169	355	1733
170	356	1728
171	358	1724
172	360	1720
173	361	1718
174	363	1711
175	365	1708
176	366	1706
177	368	1701
178	369	1696
179	371	1693
180	373	1688
181	375	1686
182	376	1682
183	378	1677
184	379	1671
185	381	1669
186	383	1666
187	384	1662
188	386	1658
189	387	1653
190	389	1649
191	391	1646
192	393	1643
193	394	1638
194	396	1636
195	398	1634
196	400	1632
197	401	1627
198	403	1623
199	405	1621
200	406	1616
201	407	1611
202	409	1606
203	410	1602
204	412	1599
205	414	1596
206	415	1591
207	416	1587
208	418	1582
209	419	1578
210	421	1575
211	422	1571
212	424	1567
213	425	1562
214	427	1559
215	428	1555
216	430	1554
217	432	1550
218	434	1548
219	435	1543
220	436	1538
221	437	1534
222	439	1532
223	441	1529
224	442	1524
225	444	1521
226	446	1519
227	447	1514
228	449	1512
229	450	1509
230	452	1507
231	454	1504
232	456	1502
233	458	1499
234	460	1497
235	461	1492
236	462	1488
237	463	1485
238	465	1481
239	466	1477
240	468	1474
241	470	1472
242	471	1469
243	473	1466
244	474	1462
245	476	1459
246	477	1455
247	479	1452
248	481	1450
249	482	1447
250	484	1444
251	485	1442
252	487	1440
253	489	1438
254	491	1435
255	493	1434
256	494	1430
257	496	1428
258	497	1424
259	499	1420
260	501	1418
261	503	1416
262	504	1413
263	506	1410
264	508	1409
265	509	1406
266	511	1403
267	512	1400
268	515	1400
269	516	1397
270	518	1393
271	520	1391
272	521	1388
273	522	1383
274	523	1380
275	525	1378
276	527	1375
277	528	1372
278	530	1369
279	532	1368
280	534	1366
281	536	1364
282	537	1363
283	539	1359
284	542	1360
285	544	1358
286	545	1354
287	547	1352
288	549	1351
289	551	1349
290	552	1345
291	554	1343
292	555	1341
293	556	1337
294	558	1335
295	560	1332
296	561	1329
297	563	1327
298	568	1333
299	573	1338
300	575	1336
301	579	1340
302	581	1337
303	582	1334
304	584	1332
305	585	1328
306	587	1326
307	589	1324
308	591	1322
309	593	1321
310	597	1322
311	599	1320
312	602	1322
313	607	1326
314	609	1324
315	610	1321
316	612	1320
317	613	1316
318	615	1314
319	617	1312
320	619	1310
321	621	1309
322	623	1307
323	626	1308
324	630	1308
325	632	1308
326	635	1308
327	637	1306
328	639	1304
329	641	1303
330	643	1301
331	645	1299
332	647	1297
333	649	1294
334	650	1291
335	652	1289
336	654	1287
337	655	1284
338	659	1285
339	662	1285
340	663	1282
341	665	1280
342	666	1277
343	668	1275
344	672	1275
345	674	1274
346	675	1271
347	677	1269
348	679	1268
349	681	1265
350	683	1264
351	685	1262
352	687	1260
353	689	1257
354	691	1255
355	693	1253
356	694	1251
357	696	1249
358	698	1247
359	700	1245
360	701	1242
361	703	1240
362	705	1238
363	708	1238
364	710	1236
365	712	1234
366	714	1232
367	716	1230
368	718	1228
369	720	1226
370	721	1223
371	723	1222
372	725	1220
373	727	1218
374	729	1216
375	731	1214
376	733	1212
377	735	1210
378	737	1208
379	739	1206
380	741	1204
381	743	1202
382	745	1200
383	747	1198
384	749	1197
385	751	1195
386	753	1193
387	755	1191
388	757	1189
389	759	1187
390	761	1185
391	763	1184
392	765	1181
393	767	1180
394	769	1178
395	770	1175
396	772	1174
397	775	1172
398	777	1170
399	779	1168
400	781	1166
401	783	1164
402	785	1163
403	787	1161
404	789	1159
405	791	1157
406	793	1155
407	795	1154
408	797	1152
409	799	1150
410	801	1148
411	803	1146
412	805	1144
413	807	1143
414	809	1141
415	812	1139
416	814	1138
417	816	1136
418	818	1134
419	820	1132
420	822	1130
421	824	1128
422	826	1127
423	828	1125
424	830	1123
425	832	1121
426	834	1119
427	836	1117
428	838	1115
429	840	1113
430	842	1112
431	844	1110
432	846	1108
433	848	1106
434	850	1104
435	852	1102
436	854	1101
437	856	1099
438	858	1097
439	860	1095
440	862	1093
441	864	1091
442	866	1089
443	868	1087
444	870	1085
445	873	1084
446	874	1082
447	876	1080
448	879	1078
449	880	1076
450	882	1074
451	884	1072
452	886	1070
453	888	1069
454	890	1067
455	892	1065
456	894	1063
457	896	1061
458	898	1059
459	902	1059
460	904	1057
461	906	1055
462	908	1053
463	910	1051
464	912	1050
465	914	1048
466	916	1046
467	918	1044
468	920	1042
469	922	1040
470	924	1038
471	926	1036
472	928	1034
473	930	1032
474	932	1030
475	934	1028
476	936	1027
477	938	1025
478	940	1023
479	942	1021
480	944	1019
481	946	1017
482	948	1015
483	950	1013
484	952	1011
485	954	1009
486	956	1007
487	958	1005
488	960	1003
489	962	1001
490	964	999
491	965	997
492	967	995
493	969	993
494	971	991
495	973	989
496	975	987
497	977	985
498	979	983
499	981	981
500	983	979
501	985	977
502	987	975
503	989	973
504	991	971
505	993	969
506	995	967
507	996	965
508	998	963
509	1001	961
510	1003	959
511	1004	957
512	1006	955
513	1008	954
514	1010	952
515	1012	950
516	1015	948
517	1017	946
518	1018	944
519	1020	942
520	1022	940
521	1024	938
522	1026	936
523	1028	934
524	1030	932
525	1032	930
526	1034	928
527	1036	926
528	1038	925
529	1040	923
530	1042	921
531	1044	919
532	1046	917
533	1048	915
534	1050	913
535	1052	911
536	1054	909
537	1056	907
538	1058	905
539	1060	903
540	1062	901
541	1064	899
542	1066	897
