DATE,ICNSA
1/7/1967,346000
1/14/1967,334000
1/21/1967,277000
1/28/1967,252000
2/4/1967,274000
2/11/1967,276000
2/18/1967,247000
2/25/1967,248000
3/4/1967,326000
3/11/1967,240000
3/18/1967,225000
3/25/1967,215000
4/1/1967,223000
4/8/1967,251000
4/15/1967,289000
4/22/1967,218000
4/29/1967,216000
5/6/1967,221000
5/13/1967,188000
5/20/1967,177000
5/27/1967,170000
6/3/1967,175000
6/10/1967,188000
6/17/1967,176000
6/24/1967,178000
7/1/1967,206000
7/8/1967,322000
7/15/1967,309000
7/22/1967,282000
7/29/1967,243000
8/5/1967,250000
8/12/1967,193000
8/19/1967,174000
8/26/1967,160000
9/2/1967,163000
9/9/1967,156000
9/16/1967,165000
9/23/1967,155000
9/30/1967,154000
10/7/1967,195000
10/14/1967,159000
10/21/1967,181000
10/28/1967,174000
11/4/1967,204000
11/11/1967,201000
11/18/1967,209000
11/25/1967,200000
12/2/1967,228000
12/9/1967,258000
12/16/1967,241000
12/23/1967,289000
12/30/1967,332000
1/6/1968,357000
1/13/1968,373000
1/20/1968,293000
1/27/1968,242000
2/3/1968,308000
2/10/1968,257000
2/17/1968,214000
2/24/1968,199000
3/2/1968,198000
3/9/1968,208000
3/16/1968,179000
3/23/1968,175000
3/30/1968,165000
4/6/1968,184000
4/13/1968,167000
4/20/1968,165000
4/27/1968,216000
5/4/1968,180000
5/11/1968,164000
5/18/1968,156000
5/25/1968,148000
6/1/1968,139000
6/8/1968,149000
6/15/1968,154000
6/22/1968,152000
6/29/1968,173000
7/6/1968,266000
7/13/1968,242000
7/20/1968,216000
7/27/1968,238000
8/3/1968,235000
8/10/1968,222000
8/17/1968,160000
8/24/1968,148000
8/31/1968,139000
9/7/1968,135000
9/14/1968,141000
9/21/1968,142000
9/28/1968,143000
10/5/1968,153000
10/12/1968,151000
10/19/1968,151000
10/26/1968,152000
11/2/1968,161000
11/9/1968,174000
11/16/1968,196000
11/23/1968,211000
11/30/1968,180000
12/7/1968,223000
12/14/1968,233000
12/21/1968,243000
12/28/1968,333000
1/4/1969,290000
1/11/1969,337000
1/18/1969,265000
1/25/1969,236000
2/1/1969,250000
2/8/1969,248000
2/15/1969,219000
2/22/1969,199000
3/1/1969,206000
3/8/1969,195000
3/15/1969,179000
3/22/1969,158000
3/29/1969,157000
4/5/1969,170000
4/12/1969,187000
4/19/1969,168000
4/26/1969,151000
5/3/1969,150000
5/10/1969,157000
5/17/1969,141000
5/24/1969,138000
5/31/1969,135000
6/7/1969,148000
6/14/1969,145000
6/21/1969,155000
6/28/1969,177000
7/5/1969,267000
7/12/1969,271000
7/19/1969,246000
7/26/1969,221000
8/2/1969,223000
8/9/1969,210000
8/16/1969,168000
8/23/1969,154000
8/30/1969,144000
9/6/1969,133000
9/13/1969,149000
9/20/1969,147000
9/27/1969,147000
10/4/1969,159000
10/11/1969,168000
10/18/1969,155000
10/25/1969,171000
11/1/1969,174000
11/8/1969,206000
11/15/1969,196000
11/22/1969,230000
11/29/1969,219000
12/6/1969,247000
12/13/1969,264000
12/20/1969,289000
12/27/1969,320000
1/3/1970,344000
1/10/1970,429000
1/17/1970,386000
1/24/1970,316000
1/31/1970,293000
2/7/1970,324000
2/14/1970,308000
2/21/1970,285000
2/28/1970,241000
3/7/1970,270000
3/14/1970,258000
3/21/1970,233000
3/28/1970,236000
4/4/1970,250000
4/11/1970,300000
4/18/1970,339000
4/25/1970,299000
5/2/1970,278000
5/9/1970,279000
5/16/1970,242000
5/23/1970,231000
5/30/1970,224000
6/6/1970,234000
6/13/1970,242000
6/20/1970,245000
6/27/1970,247000
7/4/1970,309000
7/11/1970,369000
7/18/1970,353000
7/25/1970,329000
8/1/1970,293000
8/8/1970,278000
8/15/1970,257000
8/22/1970,238000
8/29/1970,220000
9/5/1970,240000
9/12/1970,207000
9/19/1970,247000
9/26/1970,256000
10/3/1970,284000
10/10/1970,287000
10/17/1970,259000
10/24/1970,280000
10/31/1970,283000
11/7/1970,333000
11/14/1970,307000
11/21/1970,333000
11/28/1970,354000
12/5/1970,378000
12/12/1970,370000
12/19/1970,354000
12/26/1970,451000
1/2/1971,443000
1/9/1971,500000
1/16/1971,452000
1/23/1971,399000
1/30/1971,353000
2/6/1971,375000
2/13/1971,333000
2/20/1971,286000
2/27/1971,289000
3/6/1971,306000
3/13/1971,275000
3/20/1971,260000
3/27/1971,261000
4/3/1971,267000
4/10/1971,278000
4/17/1971,257000
4/24/1971,248000
5/1/1971,237000
5/8/1971,260000
5/15/1971,230000
5/22/1971,231000
5/29/1971,231000
6/5/1971,232000
6/12/1971,244000
6/19/1971,249000
6/26/1971,247000
7/3/1971,288000
7/10/1971,335000
7/17/1971,367000
7/24/1971,342000
7/31/1971,340000
8/7/1971,362000
8/14/1971,282000
8/21/1971,252000
8/28/1971,228000
9/4/1971,268000
9/11/1971,219000
9/18/1971,230000
9/25/1971,236000
10/2/1971,238000
10/9/1971,280000
10/16/1971,233000
10/23/1971,251000
10/30/1971,241000
11/6/1971,297000
11/13/1971,289000
11/20/1971,291000
11/27/1971,284000
12/4/1971,372000
12/11/1971,348000
12/18/1971,329000
12/25/1971,340000
1/1/1972,405000
1/8/1972,479000
1/15/1972,395000
1/22/1972,347000
1/29/1972,326000
2/5/1972,342000
2/12/1972,318000
2/19/1972,279000
2/26/1972,252000
3/4/1972,263000
3/11/1972,257000
3/18/1972,241000
3/25/1972,231000
4/1/1972,224000
4/8/1972,271000
4/15/1972,237000
4/22/1972,223000
4/29/1972,214000
5/6/1972,234000
5/13/1972,218000
5/20/1972,210000
5/27/1972,209000
6/3/1972,198000
6/10/1972,224000
6/17/1972,227000
6/24/1972,240000
7/1/1972,327000
7/8/1972,364000
7/15/1972,367000
7/22/1972,299000
7/29/1972,266000
8/5/1972,256000
8/12/1972,220000
8/19/1972,203000
8/26/1972,195000
9/2/1972,192000
9/9/1972,178000
9/16/1972,196000
9/23/1972,193000
9/30/1972,192000
10/7/1972,233000
10/14/1972,202000
10/21/1972,214000
10/28/1972,196000
11/4/1972,242000
11/11/1972,236000
11/18/1972,280000
11/25/1972,238000
12/2/1972,268000
12/9/1972,317000
12/16/1972,323000
12/23/1972,327000
12/30/1972,338000
1/6/1973,345000
1/13/1973,412000
1/20/1973,324000
1/27/1973,267000
2/3/1973,285000
2/10/1973,276000
2/17/1973,242000
2/24/1973,220000
3/3/1973,233000
3/10/1973,227000
3/17/1973,212000
3/24/1973,209000
